pitcher,player_name,Handedness,year,player_age,n,p_formatted_ip,p_k_percent,p_bb_percent,xwoba,xwobacon,z_swing_miss_percent,in_zone_percent,whiff_percent,groundballs_percent,flyballs_percent,n_fastball_formatted,N_FB,Rel_X_FB,Rel_Z_FB,Extension_FB,Max_Velo_FB,Avg_Velo_FB,Spin_FB,H_Break_FB,V_Break_FB,xwOBA_FB,SwStr_FB,CSW_FB,n_offspeed_formatted,n_ch_formatted,N_CH,Rel_X_CH,Rel_Z_CH,Extension_CH,Max_Velo_CH,Avg_Velo_CH,Spin_CH,H_Break_CH,V_Break_CH,xwOBA_CH,SwStr_CH,CSW_CH,n_breaking_formatted.x.x,n_sl_formatted,N_SL,Rel_X_SL,Rel_Z_SL,Extension_SL,Max_Velo_SL,Avg_Velo_SL,Spin_SL,H_Break_SL,V_Break_SL,xwOBA_SL,SwStr_SL,CSW_SL,n_breaking_formatted.x.y,n_cukc_formatted,N_CB,Rel_X_CB,Rel_Z_CB,Extension_CB,Max_Velo_CB,Avg_Velo_CB,Spin_CB,H_Break_CB,V_Break_CB,xwOBA_CB,SwStr_CB,CSW_CB
607625,Seth Lugo,R,2016,27,948,64,17.3,8.1,0.355,0.401,16.4,50.2,21.7,45.8,25.3,55.8,528,-1.56595,5.36695,6.479,97.5,92.83598485,2318,-1.086770833,1.262816667,0.268,0.076086957,0.258454106,8.7,8.7,82,-1.44475,5.4314,6.401,90.3,86.4695122,1720,-1.205758333,1.093683333,0.2485,0.079710145,0.213768116,35.4,18.8,171,-1.5426,5.503,6.212,90.8,87.05438596,2338,0.032825,0.559766667,0.269,0.126530612,0.297959184,35.4,16.5,150,-1.5602,5.61005,5.7745,83.5,78.4,3320.5,0.867129167,-1.47485,0.279,0.09122807,0.305263158
607625,Seth Lugo,R,2019,30,1272,80,33.1,5.1,0.234,0.321,20.7,52.8,26.6,43.9,28.6,56.7,722,-1.1293,5.54105,6.077,97.6,94.316759,2233,-0.791,1.27015,0.181,0.110803324,0.325484765,6.5,6.5,83,-1.1986,5.4882,6.139,91.2,87.89518072,1727,-1.2771,0.733,0.084,0.096385542,0.204819277,36.7,12.9,165,-1.2008,5.5246,5.865,90.7,88.05272727,2427,0.3078,0.5594,0.262,0.151515152,0.333333333,36.7,23.7,302,-1.19045,5.59765,5.5585,83.8,79.57715232,3284,1.0534,-1.39915,0.229,0.102649007,0.321192053
607625,Seth Lugo,R,2017,28,1634,101.1,19.5,5.7,0.335,0.395,16.1,51.5,20.7,42.6,24.7,50.6,828,-1.42565,5.26095,6.3445,97,91.36896135,2247,-1.1174,1.1985,0.268,0.076086957,0.258454106,16.8,16.8,276,-1.4778,5.22115,6.3775,89.8,85.93731884,1788.5,-1.2386,0.93715,0.2485,0.079710145,0.213768116,32.4,14.9,244,-1.45065,5.39125,6.1365,90.5,85.71106557,2331,0.0641,0.6112,0.269,0.126530612,0.297959184,32.4,17.4,285,-1.4707,5.3799,5.724,80.4,76.31017544,3065,0.9802,-1.0766,0.279,0.09122807,0.305263158
607625,Seth Lugo,R,2018,29,1611,101.1,25.1,6.8,0.277,0.342,15.9,50.7,23.3,47.3,24.2,48.8,787,-1.162,5.3542,6.139,98.2,93.8364676,2245,-0.9564,1.1883,0.231,0.086404066,0.285895807,7.5,7.5,122,-1.2473,5.3666,6.171,89.6,87.01967213,1810,-1.3208,0.7569,0.1425,0.114754098,0.213114754,43.5,11.7,189,-1.2379,5.3857,5.932,91.2,87.80846561,2420,0.2998,0.5012,0.308,0.132275132,0.275132275,43.5,31.8,513,-1.2675,5.4857,5.625,84,79.93528265,3177,1.0229,-1.2364,0.142,0.109161793,0.346978558
493200,Seunghwan Oh,R,2016,34,1292,79.2,32.9,5.8,0.24,0.33,28.9,47.8,35.3,40.5,27.4,61.3,760,-2.5013,5.6975,5.8045,97.5,93.52065789,2313.5,-0.816091667,1.521533333,0.1595,0.136618141,0.29787234,6.9,6.9,81,-2.397,5.6436,5.817,88.2,83.62222222,1624,-1.297608333,0.822066667,0.509,0.155844156,0.207792208,31.7,30.9,383,-2.6844,5.4727,5.76,91.2,86.35065274,2250,-0.078508333,0.568366667,0.123,0.076923077,0.230769231,31.7,0.7,9,-2.1531,5.9275,5.4,78.4,74.17777778,2532,0.465633333,-0.744566667,0.566,0.052631579,0.263157895
493200,Seunghwan Oh,R,2017,35,1028,59.1,20.5,5.7,0.314,0.385,24.2,52.6,27.1,30.2,32.3,86.8,892,-2.5524,5.5632,5.5455,96,90.91827354,2263.5,-0.5102,1.3782,0.1595,0.136618141,0.29787234,7.4,7.4,77,-2.3593,5.6109,5.687,89.5,84.35714286,1651,-1.1907,1.0538,0.509,0.155844156,0.207792208,5.6,3.7,36,-2.70905,5.35235,5.4605,83,81.71666667,2210.5,0.08655,0.36005,0.123,0.076923077,0.230769231,5.6,1.8,19,-2.257,5.7544,5.151,78.1,75.03684211,2509,0.3929,-0.7611,0.566,0.052631579,0.263157895
493200,Seunghwan Oh,R,2018,36,1160,68.1,28.8,6.2,0.263,0.333,26,48.5,31.5,30.5,33.9,83.6,970,-2.75115,5.5025,5.6665,94.1,88.89309278,2251,-0.36915,1.2916,0.196,0.153608247,0.311340206,7.6,7.6,89,-2.6542,5.5317,5.63,88.6,83.67752809,1656,-1.1093,0.8045,0.157,0.134831461,0.179775281,8.7,1.6,17,-3.0406,5.2602,5.533,80.5,78.4,2293,0.3709,0.1395,0.197,0.157894737,0.263157895,8.7,7,82,-2.5006,5.5857,5.3275,78.1,74.00853659,2568.5,0.5737,-0.886,0.135,0.097560976,0.37804878
669456,Shane Bieber,R,2019,24,3223,214.1,30.2,4.7,0.3,0.408,16.9,46.4,30.7,44.8,21.7,45.7,1475,-1.3642,5.7503,6.421,95.2,93.08867797,2257,-0.6929,1.4847,0.299,0.050847458,0.315254237,7.2,7.2,234,-1.5476,5.5937,6.4085,89.6,87.57692308,1734.5,-1.3032,0.6013,0.268,0.094017094,0.230769231,46.9,26.4,850,-1.45385,5.688,6.1205,87.8,85.01988235,2378,0.12395,0.23795,0.2605,0.225195095,0.344481605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
669456,Shane Bieber,R,2018,23,1802,114.2,24.3,4.7,0.317,0.398,17.6,53.6,26.2,46.5,23.7,57.4,1035,-1.0909,5.7209,6.432,95.5,93.01545894,2271,-0.9252,1.2839,0.291,0.049275362,0.30821256,3.8,3.8,69,-1.2141,5.6681,6.374,89.8,87.76521739,1590,-0.9205,0.97,0.2275,0.072463768,0.217391304,38.7,22.6,392,-1.1743,5.697,5.8755,86.6,83.69846939,2257.5,0.17895,-0.0633,0.208,0.26405868,0.381418093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
641438,Shane Carle,R,2018,27,947,63,16.6,10.4,0.323,0.357,18.7,47.1,26.5,48.4,18.1,46.7,443,-1.7263,6.0171,6.069,97.7,94.77404063,2194,-0.973,1.1662,0.273,0.072234763,0.237020316,16.6,16.6,158,-1.85795,5.9709,6.179,90.3,87.34177215,1553.5,-1.0617,0.4906,0.262,0.189873418,0.234177215,36.5,25,232,-1.869,5.9225,5.9655,91.1,86.87974138,2222,0.25185,0.19785,0.1895,0.189873418,0.312236287,36.5,11.5,109,-1.7597,5.9465,5.718,82.7,80.51100917,2456,0.5484,-0.8715,0.1685,0.155963303,0.348623853
572888,Shane Greene,R,2019,31,948,62.2,25.4,6.7,0.307,0.38,19.7,50.1,26.3,47.6,22.6,78,751,-1.8453,6.0801,5.41,95.3,90.65113182,2276,-1.1381,0.7555,0.226,0.097074468,0.300531915,0.5,0.5,5,-2.0341,6.0097,5.296,86.4,85.38,1774,-1.4616,0.1096,NA,0,0.2,21.4,21.4,198,-1.9943,5.9562,4.866,83.1,80.19848485,2595.5,1.3919,0.26415,0.448,0.18627451,0.352941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
641312,Shaun Anderson,R,2019,25,1583,96,16.4,8.9,0.354,0.394,14.9,47.8,20.8,43.2,19.2,58.5,982,-2.5698,6.34405,6.245,96.4,92.5395112,2468,-0.0775,1.12675,0.2255,0.067141404,0.216683622,7.9,7.9,133,-2.7561,6.2859,6.108,89.3,86.07443609,1425,-0.8597,0.5707,0.13,0.096296296,0.244444444,33.4,30.5,383,-2.8113,6.2261,5.77,90.4,86.52480418,2714,0.4889,0.1276,0.314,0.147704591,0.25748503,33.4,2.9,51,-2.6384,6.3608,5.773,81.3,77.79411765,2505,0.5135,-0.9937,0.306,0.038461538,0.230769231
